FilmID,Title,Release Date,DirectorID,Lead Actor/Actress,LanguageID,Industry,GenreID,Budget in Crores,First Day Collection Worldwide  in Crores,Worldwide Collection  in Crores,Overseas Collection in Crores,India Gross Collection in Crores,Verdict,IMDb Rating,Runtime (mins),OTT Platform
290,Vikram,03-06-2022,296,Kamal Haasan,503,Kollywood,621,120.00,62.00,414.43,125.00,289.43,Blockbuster,8.3,175,Amazon Prime Video
291,Kantara,30-09-2022,312,Rishab Shetty,507,Sandalwood,699,16.00,2.80,407.82,44.00,363.82,All Time Blockbuster,8.2,148,Amazon Prime Video
292,Drishyam 2,12-01-2023,313,Ajay Devgn,501,Bollywood,700,65.00,23.86,342.31,59.50,282.81,Blockbuster,8.2,140,Amazon Prime Video
293,The Kashmir Files,11-03-2022,314,Mithun Chakraborty,501,Bollywood,647,20.00,4.90,341.00,46.00,295.00,Blockbuster,8.6,170,ZEE5
294,Bhool Bhulaiyaa 2,20-05-2022,215,Tabu,501,Bollywood,628,80.00,20.60,265.50,49.00,216.50,Blockbuster,5.7,143,Netflix
295,Beast,13-04-2022,181,Joseph Vijay,503,Kollywood,603,150.00,82.40,216.58,65.00,151.58,Below Average,5.2,155,Netflix
296,Gangubai Kathiawadi,25-02-2022,133,Alia Bhatt,501,Bollywood,701,180.00,16.00,211.50,56.00,155.50,Average,7.8,152,Netflix
297,Sarkaru Vaari Paata,12-05-2022,149,Mahesh Babu,505,Tollywood,606,100.00,68.50,188.50,26.50,162.00,Above Average,5.6,162,Amazon Prime Video
298,Valimai,25-02-2022,225,Ajith Kumar,503,Kollywood,607,150.00,47.50,164.50,41.00,123.50,Flop,6.1,178,ZEE5
299,Bheemla Nayak,25-02-2022,315,Pawan Kalyan,505,Tollywood,627,90.00,57.10,158.50,28.00,130.50,Hit,6.3,130,Disney+ Hotstar
300,Radhe Shyam,11-03-2022,316,Prabhas,505,Tollywood,636,300.00,66.30,149.50,26.30,123.20,Disaster,5.2,138,Netflix
301,Jug Jugg Jeeyo,24-06-2022,317,Varun Dhawan,501,Bollywood,702,100.00,11.80,139.50,38.30,101.20,Average,6.1,148,Amazon Prime Video
302,Vikram Vedha,29-09-2022,318,Saif Ali Khan,501,Bollywood,621,150.00,20.67,135.44,42.34,93.10,Flop,7.1,160,ZEE5
303,Laal Singh Chaddha,11-08-2022,196,Sharik Khan Jr.,501,Bollywood,608,180.00,23.85,133.50,61.00,72.50,Disaster,5.6,159,Netflix
304,Karthikeya 2,26-08-2022,319,Nikhil Siddharth,505,Tollywood,703,25.00,8.70,117.87,15.50,102.37,Blockbuster,7.9,150,ZEE5
305,Thiruchitrambalam,18-08-2022,320,Dhanush,503,Kollywood,704,30.00,11.00,117.20,26.90,90.30,Blockbuster,7.9,131,Sun NXT
306,Don,13-05-2022,321,Sivakarthikeyan,503,Kollywood,608,35.00,13.00,114.00,23.35,90.65,Blockbuster,6.8,165,Netflix
307,Godfather,05-10-2022,218,Chiranjeevi,505,Tollywood,621,100.00,28.85,107.00,20.00,87.00,Flop,5.2,157,Netflix
308,777 Charlie,10-06-2022,322,Rakshit Shetty,507,Sandalwood,705,15.00,9.25,102.75,5.80,96.95,Blockbuster,8.7,164,Voot
309,VR (Vikrant Rona),28-07-2022,323,Sudeep,507,Sandalwood,626,80.00,25.50,100.35,5.60,94.75,Average,6.9,148,Disney+ Hotstar
310,Bhediya,25-11-2022,141,Varun Dhawan,501,Bollywood,641,60.00,12.06,94.91,13.50,81.41,Average,6.7,156,JioCinema
311,Sita Ramam,05-08-2022,324,Dulquer Salmaan,505,Tollywood,706,30.00,5.70,94.28,17.00,77.28,Blockbuster,8.5,163,Amazon Prime Video
312,James,17-03-2022,325,Puneeth Rajkumar,507,Sandalwood,610,40.00,23.50,94.20,5.00,89.20,Super Hit,7.4,149,SonyLIV
313,Samrat Prithviraj,03-06-2022,326,Akshay Kumar,501,Bollywood,696,220.00,17.50,90.55,10.00,80.55,Disaster,5.6,135,Amazon Prime Video
314,F3: Fun and Frustration,27-05-2022,230,Venkatesh Daggubati,505,Tollywood,668,60.00,22.20,90.00,14.90,75.10,Below Average,4.7,148,Amazon Prime Video
315,Bheeshmaparvam,03-03-2022,179,Mammootty,509,Mollywood,621,18.00,12.20,88.20,36.50,51.70,Blockbuster,7.6,144,Disney+ Hotstar
316,Sardar,21-10-2022,158,Karthi,503,Kollywood,627,35.00,6.10,84.50,20.00,64.50,Super Hit,7.5,166,Amazon Prime Video
317,Love Today,02-12-2022,327,Pradeep Ranganathan,503,Kollywood,608,6.00,2.85,83.55,5.00,78.55,Blockbuster,8,154,Netflix
318,Dhamaka,23-12-2022,178,Ravi Teja,505,Tollywood,691,35.00,9.04,82.25,7.50,74.75,Blockbuster,6.2,144,Netflix
319,Bachchhan Paandey,18-03-2022,328,Akshay Kumar,501,Bollywood,649,165.00,13.25,74.20,14.00,60.20,Disaster,5,147,Amazon Prime Video
320,Acharya,29-04-2022,140,Chiranjeevi,505,Tollywood,606,140.00,51.00,73.50,11.25,62.25,Disaster,3.8,152,Amazon Prime Video
321,Etharkkum Thunindhavan,10-03-2022,155,Suriya,503,Kollywood,621,65.00,14.00,71.40,14.00,57.40,Flop,6.4,151,Netflix
322,Raksha Bandhan,11-08-2022,142,Akshay Kumar,501,Bollywood,707,70.00,12.70,68.38,11.00,57.38,Disaster,5.4,108,ZEE5
